PRN;Time_UTC;Azimuth;Elevation;MP_C1C;MP_C1P;MP_C2C;MP_C2P;SNR_S1C;SNR_S1P;SNR_S2C;SNR_S2P
R01;2022-01-01 00:25:00;148.43;39.49;0.5824;-0.4028;-0.4710;-0.0521;45.0;43.1;40.3;39.8
R01;2022-01-01 00:25:30;148.31;39.75;0.1139;-0.0633;-0.6240;0.1831;45.1;43.2;41.1;40.2
R01;2022-01-01 00:26:00;148.18;40.02;-0.7401;-0.4445;-0.1062;0.1447;44.3;43.2;41.6;40.0
R01;2022-01-01 00:26:30;148.06;40.28;-0.2775;-0.2781;1.1049;-0.0462;44.9;43.4;40.4;40.9
R01;2022-01-01 00:27:00;147.93;40.55;0.0092;-0.5600;0.2176;-0.1742;44.3;43.7;40.4;39.8
R01;2022-01-01 00:27:30;147.80;40.81;0.4920;-0.1053;-1.0289;0.1528;44.7;43.9;40.2;39.8
R01;2022-01-01 00:28:00;147.66;41.07;0.1915;0.1842;0.1975;-0.1776;45.6;43.9;40.3;39.5
R01;2022-01-01 00:28:30;147.53;41.34;0.2880;-0.0815;0.1685;-0.2206;45.8;44.3;41.1;39.1
R01;2022-01-01 00:29:00;147.39;41.60;-0.2964;-0.2935;-1.6199;-0.6332;45.6;44.1;40.0;39.6
R01;2022-01-01 00:29:30;147.26;41.87;-0.1897;-0.0558;-0.4881;-0.3102;45.9;44.7;40.4;39.8
R01;2022-01-01 00:30:00;147.12;42.13;-0.3818;0.0286;-0.2423;-0.7163;46.1;44.6;40.0;39.8
R01;2022-01-01 00:30:30;146.98;42.39;-0.3419;-0.0648;-0.7881;-1.0016;45.9;44.3;39.4;39.1
R01;2022-01-01 00:31:00;146.83;42.65;0.8530;-0.1845;-1.3001;-0.8372;46.0;44.7;39.5;39.0
R01;2022-01-01 00:31:30;146.69;42.92;-0.2113;0.0239;-0.9657;-0.7248;46.2;44.5;40.9;39.4
R01;2022-01-01 00:32:00;146.54;43.18;0.6791;-0.2081;-1.5477;-0.6222;45.8;44.9;39.9;39.4
R01;2022-01-01 00:32:30;146.39;43.44;0.2431;-0.1331;-0.0461;-0.6316;46.0;45.8;40.9;40.2
R01;2022-01-01 00:33:00;146.23;43.70;0.7010;0.0600;-1.0311;-0.8463;46.8;45.3;40.4;39.8
